"","SURVEY_SERIES_ID","YEAR","relBio","catch","species","surveyName","stockName"
"1",1,2003,0.300600023884279,0.0002756,"petrale","QCSSyn","QCS"
"2",1,2004,0.396781762803372,0.00048155,"petrale","QCSSyn","QCS"
"3",1,2005,0.398757267125688,0.0004274,"petrale","QCSSyn","QCS"
"4",1,2007,0.207846069621984,0.00031877,"petrale","QCSSyn","QCS"
"5",1,2009,0.324334477088557,0.00034079,"petrale","QCSSyn","QCS"
"6",1,2011,0.491908997900139,0.00062646,"petrale","QCSSyn","QCS"
"7",1,2013,0.423902604928912,0.00053305,"petrale","QCSSyn","QCS"
"8",1,2015,0.264518028770063,0.000313,"petrale","QCSSyn","QCS"
"9",3,2005,0.16344619603291,0.00042143,"petrale","HSSyn","HSHG"
"10",3,2007,0.268719746945372,0.00027027,"petrale","HSSyn","HSHG"
"11",3,2009,0.237225935980802,0.00025582,"petrale","HSSyn","HSHG"
"12",3,2011,0.400133350136595,0.00063178,"petrale","HSSyn","HSHG"
"13",3,2013,0.420775461600698,0.00053367,"petrale","HSSyn","HSHG"
"14",3,2015,0.283106291195138,0.0003663,"petrale","HSSyn","HSHG"
"15",4,2004,0.403123614388929,0.0002833,"petrale","WCVISyn","WCVI"
"16",4,2006,0.295188472876715,0.00041771,"petrale","WCVISyn","WCVI"
"17",4,2008,0.590042140234335,0.00066762,"petrale","WCVISyn","WCVI"
"18",4,2010,0.692755880609208,0.00079844,"petrale","WCVISyn","WCVI"
"19",4,2012,0.630653797152771,0.00078748,"petrale","WCVISyn","WCVI"
"20",4,2014,1.21882616132761,0.00145783,"petrale","WCVISyn","WCVI"
"21",4,2016,1.18732834450942,0.00144042,"petrale","WCVISyn","WCVI"
"22",16,2006,0.0126088325168086,9.188e-05,"petrale","WCHGSyn","HSHG"
"23",16,2007,0.0031855857219414,1.814e-05,"petrale","WCHGSyn","HSHG"
"24",16,2008,0.00699160680717989,6.617e-05,"petrale","WCHGSyn","HSHG"
"25",16,2010,0.00572274203511892,6.566e-05,"petrale","WCHGSyn","HSHG"
"26",16,2012,0.0105283968306585,9.976e-05,"petrale","WCHGSyn","HSHG"
"27",16,2014,0.00398954858139812,1.592e-05,"petrale","WCHGSyn","HSHG"
"28",16,2016,0.00355835990743481,3.336e-05,"petrale","WCHGSyn","HSHG"
"29",2,1984,0.155814455778569,0.000233,"petrale","HSAss","HSHG"
"30",2,1987,0.0428401298572048,3.8e-05,"petrale","HSAss","HSHG"
"31",2,1989,0.247908972768756,0.000234,"petrale","HSAss","HSHG"
"32",2,1991,0.373346659166301,0.000429,"petrale","HSAss","HSHG"
"33",2,1993,0.0497759379911679,4.3e-05,"petrale","HSAss","HSHG"
"34",2,1995,0.0295263998710944,4.2e-05,"petrale","HSAss","HSHG"
"35",2,1996,0.0525654525999154,7.3e-05,"petrale","HSAss","HSHG"
"36",2,1998,0.0824950811227409,7.5e-05,"petrale","HSAss","HSHG"
"37",2,2000,0.131694991736089,0.000137,"petrale","HSAss","HSHG"
"38",2,2002,0.248311347743886,0.00026838,"petrale","HSAss","HSHG"
"39",2,2003,0.367806660218273,0.00041421,"petrale","HSAss","HSHG"
