"SURVEY_SERIES_ID","SURVEY_ID","SPECIES_CODE","SURVEY_DESC","TRIP_ID","YEAR","FISHING_EVENT_ID","FE_MAJOR_LEVEL_ID","LATITUDE","LONGITUDE","GROUPING_CODE","MAJOR_STAT_AREA_CODE","MINOR_STAT_AREA_CODE","DEPTH_M","DURATION_MIN","DOORSPREAD_M","SPEED_MPM","TOW_LENGTH_M","CATCH_WEIGHT","DENSITY_KGPM2","CATCH_COUNT","DENSITY_PCPM2"
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308725,53,51.055833,-128.62235,18,5,11,81,19,65.2,91.666685,1740,3.2,2.8206755518e-05,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308726,54,51.071116,-128.704533,18,5,11,67,21,64,90.000018,1690,3.9,3.6057692308e-05,15,0.000124007911706354
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308727,55,51.114883,-128.702233,18,5,11,72,20,63.9,106.666688,2090,2.8,2.0965773375e-05,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308728,56,51.197433,-128.5587,19,5,11,196,21,73.1,98.333353,1900,0.5,3.5999712e-06,1,6.62464301447843e-06
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308729,57,51.32785,-128.185583,18,6,8,76,20,61.5,86.666684,1700,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308730,58,51.357733,-128.334083,18,6,8,123,20,69.1,95.000019,1700,17.6,0.000149825487358,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308731,59,51.43915,-128.308416,18,6,8,114,19,67,103.333354,2050,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308732,60,51.721066,-129.47265,18,6,8,87,20,66.2,95.000019,1860,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308733,61,51.6962,-129.300466,18,6,8,53,21,59.3,71.666681,1420,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308734,62,51.647166,-129.2964,18,6,8,49,20,58.4,118.333357,2260,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308735,63,51.6871,-129.15155,18,6,8,52,21,62,116.66669,2310,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308737,65,51.772433,-128.785266,18,6,8,70,21,61.3,98.333353,1950,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308738,66,51.862183,-128.9737,18,6,8,94,21,66.4,101.666687,2030,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308739,67,51.879016,-129.208466,18,6,8,120,22,17.5,101.666687,2010,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308740,68,51.969883,-129.156266,19,6,8,188,21,73.2,98.333353,1880,0.6,4.359958144e-06,3,1.98467788671464e-05
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308741,69,52.035116,-129.216516,19,6,8,173,22,74.1,101.666687,1910,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308742,70,52.273283,-128.845916,23,7,7,181,25,89.7,86.666684,1680,0.5,3.317938101e-06,1,5.14535528685382e-06
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308743,71,52.3638,-128.965483,22,7,7,116,21,67.7,85.000017,1640,0.3,2.702021112e-06,1,8.27509568081328e-06
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308744,72,52.34335,-129.100533,23,7,7,156,20,71,95.000019,1870,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308745,73,52.2813,-129.136216,23,7,7,157,20,71.4,98.333353,1840,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308746,74,52.238683,-129.347466,23,7,7,143,21,70.4,91.666685,1720,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308747,75,52.307166,-129.425216,23,7,7,163,21,54.3,85.000017,1650,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308748,76,52.315033,-129.504583,23,7,7,185,20,73.1,100.00002,1920,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308749,77,52.571916,-129.685566,23,7,7,154,21,71.9,88.333351,1780,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308751,79,52.630766,-129.673516,23,7,7,170,21,72.8,83.33335,1620,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308752,80,52.591383,-129.81495,23,7,7,148,20,82.1,88.333351,1820,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308753,81,52.625133,-129.848983,23,7,7,180,20,73.7,103.333354,2010,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308754,82,52.614083,-129.913116,24,7,7,262,20,71.4,88.333351,1490,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308755,83,52.676783,-129.947266,24,7,7,262,21,72.9,96.666686,1910,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308756,84,52.5059,-129.852116,24,7,7,223,21,71.9,88.333351,1690,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308757,85,52.550883,-129.997583,24,7,7,271,23,73.3,93.333352,2000,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308673,1,50.9865,-128.180433,18,5,11,80,24,62,80.000016,2140,18.3,0.000137925836599,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308674,2,51.040633,-128.311316,19,5,11,140,21,70.1,90.000018,2010,3.5,2.4840135982e-05,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308675,3,51.06115,-128.32925,19,5,11,158,24,73,75.000015,1710,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308676,4,51.4856,-128.9011,18,6,8,64,21,65.6,111.666689,2170,96.8,0.000680004495897,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308677,5,51.449066,-128.758433,19,6,8,181,22,72.3,93.333352,1840,1.6,1.202718143e-05,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308678,6,51.513016,-128.558683,19,6,8,182,22,72.2,88.333351,1910,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308679,7,51.573933,-128.5737,19,6,8,150,21,72.7,100.00002,1970,10.7,7.4710757651e-05,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308680,8,51.6147,-128.4856,19,6,8,152,22,70.6,105.000021,2030,3.1,2.1630220907e-05,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308681,9,51.664733,-128.501383,19,6,8,141,20,71.6,98.333353,1920,36,0.00026187150838,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308682,10,51.660366,-128.380883,19,6,8,144,20,72.6,101.666687,1910,0.9,6.490415819e-06,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308683,11,51.989133,-128.731283,19,6,8,166,22,72.8,93.333352,1860,0.2,1.477017606e-06,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308684,12,52.026083,-128.7792,19,6,8,177,21,78.2,106.666688,1920,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308685,13,52.079333,-128.686133,20,6,8,207,21,69.6,100.00002,1890,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308686,14,52.114866,-128.730116,19,6,8,196,20,72.3,91.666685,1690,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308687,15,52.12265,-128.76565,19,6,8,194,18,73.1,103.333354,1800,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308688,16,52.08395,-128.787516,19,6,8,181,20,74.2,98.333353,1850,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308689,17,52.065766,-128.81765,19,6,8,176,20,71.7,91.666685,1760,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308690,18,52.083233,-128.901966,19,6,8,177,22,79,90.000018,1830,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308691,19,52.142,-129.077283,19,6,8,135,20,69.3,105.000021,1950,1.7,1.258001258e-05,4,2.74857362743088e-05
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308692,20,52.123616,-129.206783,19,6,8,163,19,70.2,98.333353,1820,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308693,21,52.102516,-129.271016,19,6,8,170,22,73,106.666688,2020,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308694,22,52.129066,-129.338783,23,6,8,176,22,72.7,93.333352,1790,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308695,23,52.232683,-129.43615,23,7,7,152,20,71.8,101.666687,1710,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308696,24,52.07215,-129.585716,24,6,8,214,19,78.8,105.000021,2030,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308697,25,52.129383,-129.639933,24,6,8,220,19,75.6,103.333354,1950,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308698,26,52.135166,-129.735316,23,6,8,201,20,76.4,103.333354,2020,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308700,28,52.204666,-129.6672,24,7,2,216,20,75,93.333352,1800,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308701,29,52.272833,-129.724933,24,7,2,205,20,72.3,88.333351,1760,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308702,30,52.288583,-129.784733,23,7,2,201,19,70.8,93.333352,1960,2,1.4412544679e-05,7,5.57537801070495e-05
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308703,31,52.3489,-129.786033,24,7,7,212,21,71.8,96.666686,1790,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308705,33,52.36305,-129.754866,24,7,7,220,20,71.5,100.00002,2020,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308827,155,52.556516,-131.08165,23,7,2,139,21,70.4,100.00002,1860,40,0.000305474095797,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308828,156,52.559816,-131.079066,23,7,2,135,20,68.9,95.000019,1840,15.1,0.000119107717549,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308829,157,52.402916,-130.894966,22,7,2,123,21,71.6,93.333352,1740,2.7,2.1672124831e-05,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308830,158,52.291016,-130.799433,23,7,2,172,21,74.5,98.333353,1900,0.2,1.412928294e-06,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308832,160,52.205183,-130.8009,23,7,2,196,21,74.1,98.333353,1840,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308833,161,52.184016,-130.82605,24,7,2,208,21,73.1,90.000018,1770,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308834,162,52.1147,-130.8851,24,6,8,218,21,74.4,98.333353,1920,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308836,164,52.069733,-130.322983,25,6,8,399,22,77.2,88.333351,1640,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308837,165,52.14025,-130.43265,25,6,8,360,22,75.2,88.333351,1710,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308838,166,52.083416,-130.4611,25,6,8,360,22,77.6,101.666687,1980,0,0,0,0
1,1,628,"2003 Queen Charlotte Sound Synoptic",49750,2003,308839,167,52.062983,-130.556433,24,6,8,289,19,76.4,93.333352,1800,0,0,0,0
