YEAR,FISHERY_SECTOR,GEAR,MAJOR_STAT_AREA_CODE,SPECIES_CODE,SPECIES_COMMON_NAME,LANDED_KG,DISCARDED_KG,DISCARDED_PCS
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,104935,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,4945,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,73174,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,41167,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,251363,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,2,607,PETRALE SOLE,10,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,2,628,ENGLISH SOLE,11,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,95966,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,306464,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,80458,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,28243,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,26905,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,4,607,PETRALE SOLE,57485,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,4,621,SOUTHERN ROCK SOLE,25163,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,4,628,ENGLISH SOLE,2144,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,5,602,ARROWTOOTH FLOUNDER,273579,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,5,607,PETRALE SOLE,17796,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,5,621,SOUTHERN ROCK SOLE,32517,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,5,626,DOVER SOLE,7,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,5,628,ENGLISH SOLE,24524,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,6,602,ARROWTOOTH FLOUNDER,10084,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,6,607,PETRALE SOLE,18923,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,6,621,SOUTHERN ROCK SOLE,86945,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,6,628,ENGLISH SOLE,19642,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,7,607,PETRALE SOLE,735,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,7,621,SOUTHERN ROCK SOLE,45774,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,7,628,ENGLISH SOLE,8191,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,8,602,ARROWTOOTH FLOUNDER,48803,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,8,607,PETRALE SOLE,5099,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,8,621,SOUTHERN ROCK SOLE,825206,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,8,626,DOVER SOLE,75323,0,0
1954,GROUNDFISH TRAWL,BOTTOM TRAWL,8,628,ENGLISH SOLE,316461,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,84002,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,1689,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,42310,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,59020,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,222455,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,334859,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,171866,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,64873,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,92074,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,12293,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,4,602,ARROWTOOTH FLOUNDER,88723,0,0
